title,total
Can't Stop the Music,1
Heart Beat,3
Nine to Five,1
Serial,1
The Competition,2
Chu Chu and the Philly Flash,3
Street Music,1
48 Hours,1
Chan is Missing,2
Shoot the Moon,1
Star Trek II : The Wrath of Khan,1
Sudden Impact,11
The Right Stuff,4
Crackers,2
Hard to Hold,1
The Times of Harvey Milk,1
The Woman In Red,4
Thief of Hearts,1
A View to a Kill,11
Dim Sum: A Little Bit of Heart,3
Jagged Edge,2
Maxie,3
Big Trouble in Little China,1
Kamikaze Hearts,1
Quicksilver,1
Star Trek IV: The Voyage Home,11
Burglar,4
Innerspace,3
Beaches,1
Patty Hearst,2
The Dead Pool,29
The Last of the Gladiators,1
The Presidio,15
Tucker: The Man and His Dream,1
Casualties of War,1
Common Threads: Stories From the Quilt,1
Fat Man and Little Boy,1
Indiana Jones and the Last Crusade,1
True Believer,1
